condition,amplitude,frequency,analysis_group,n_trials,onset_delta_mean,onset_delta_ci_low,onset_delta_ci_high,sustained_delta_mean,sustained_delta_ci_low,sustained_delta_ci_high,offset_delta_mean,offset_delta_ci_low,offset_delta_ci_high,recovery_delta_mean,recovery_delta_ci_low,recovery_delta_ci_high,transition_index_mean,transition_index_ci_low,transition_index_ci_high
amp100_freq5,100,5,Group 0-31,200,-3.678802375793457,-13.65032126426697,6.714265573501563,3.3978774642944334,-2.794573959350586,9.808911427497861,6.692817916870117,-3.397528434753418,16.952584357261653,1.9442844009399414,-5.938406639099121,9.450590767860408,3.2949404525756836,-5.075205954551697,12.369942126274106
amp100_freq5,100,5,Group 32-63,200,-2.0867833518981933,-10.84183479785919,6.921459492206571,1.9557442855834961,-3.0985323858261107,7.24354582118988,5.718845901489257,-2.8194886293411257,14.741389372825612,0.013499832153320313,-6.201980088233947,6.669905930519104,3.7631016159057618,-3.5834705705642698,11.325350285530082
amp100_freq5,100,5,Group 64-95,200,-0.9071815681457519,-9.98301051902771,8.382346817493437,0.42450775146484376,-4.36500437450409,5.382559485435483,3.836004753112793,-3.393710292339325,11.015653793811792,-0.4731586456298828,-6.633078281402588,5.026557330131526,3.411497001647949,-4.029949546337127,10.20634778356552
amp100_freq5,100,5,Group 96-127,200,-3.286115665435791,-8.872130268096925,2.61088709783554,0.6111045837402344,-2.7089029293060305,3.672386863708494,3.4349711418151854,-1.8671397981643676,9.395653453826888,-0.8387849044799804,-4.4792603616714475,2.789468878746032,2.8238665580749513,-1.962659866333008,7.662554605484009
amp180_freq5,180,5,Group 0-31,200,-20.17569610595703,-30.294646216392515,-9.801533592224125,-1.1737831878662108,-7.451507682800293,5.1404095687866205,1.0028868865966798,-9.694654480934144,11.49971209812164,1.4979728698730468,-7.508461149215698,10.122287452697744,2.1766700744628906,-6.176802738189697,11.271893617630003
amp180_freq5,180,5,Group 32-63,200,-10.335328559875489,-18.107402213096616,-2.613347408294681,-1.0520961380004883,-6.622590953826904,4.4516607837677,1.385142593383789,-6.990865511894226,9.745462575912475,1.5115122985839844,-5.319236068725585,8.130474370002746,2.4372387313842774,-4.3005239381790155,9.473120817184444
amp180_freq5,180,5,Group 64-95,200,-11.015415859222411,-18.55202729845047,-3.0056439666748163,1.1875179672241212,-3.3827011985778808,5.724252076148985,2.9403135108947756,-5.161236941814423,11.155549692153928,4.859923782348633,-0.9725748424530029,11.013055191040035,1.7527955436706544,-4.9640693383216865,8.636604088783255
amp180_freq5,180,5,Group 96-127,200,-5.9926992034912105,-10.487247837543489,-1.398519040107732,-0.32351978302001955,-3.798290699005127,2.9956152629852273,3.5841189765930177,-1.9835404825210572,9.384993521690369,1.8301420974731446,-2.7474795446395874,6.506283248901366,3.9076387596130373,-0.8902161712646485,8.859892371177672
amp250_freq5,250,5,Group 0-31,200,-7.275648918151855,-18.088185458183286,4.030113988876325,0.23683780670166016,-6.772843550682068,6.672537496566765,-1.2680036926269531,-11.8174126663208,9.834506359100317,2.3890938186645507,-6.550198915481568,11.10072343921661,-1.5048414993286132,-10.710838090896607,7.262821016311645
amp250_freq5,250,5,Group 32-63,200,-11.286018447875977,-19.893759964466096,-2.451008217811594,2.4959124755859374,-2.5594599990844724,7.591617549896238,-3.279547538757324,-12.128019105911253,5.114736423492419,3.894420509338379,-3.6021594438552853,10.610272682189931,-5.7754600143432615,-12.680048671722412,1.1813167438507075
amp250_freq5,250,5,Group 64-95,200,-8.180995330810546,-16.874386479854586,0.2137385077476421,0.1590994644165039,-4.536197475433349,4.562486133575439,2.7939857864379882,-5.229841344833374,11.313538976669308,3.730855369567871,-2.3870332536697387,9.887045543670649,2.6348863220214844,-5.494558653831482,10.249303428649895
amp250_freq5,250,5,Group 96-127,200,-8.00231086730957,-12.800836406707763,-3.2554688801765455,-0.5738524627685547,-3.624430202484131,2.404204011917111,0.6421800804138184,-4.036477794170379,5.504314444065089,1.7214256858825683,-2.4675710725784303,5.957624596118926,1.216032543182373,-3.2778697152137757,5.803302922725674
amp100_freq26,100,26,Group 0-31,200,7.413763732910156,-4.602942610740661,19.99234263420104,5.361889114379883,-1.1013372955322267,11.943497192382809,-0.25830074310302736,-11.137893068313598,10.482002753257749,10.680096588134766,2.1614438552856448,19.011307100296012,-5.62018985748291,-14.1482992811203,3.720443006515496
amp100_freq26,100,26,Group 32-63,200,-1.136797161102295,-9.857556272983551,8.401987179756162,4.859096031188965,-0.41783975410461427,10.160096250534057,6.699368267059326,-1.6420170497894286,15.510418631553648,7.266069526672363,0.34537006664276126,13.852146758079527,1.8402722358703614,-5.07840879201889,9.216482801437376
amp100_freq26,100,26,Group 64-95,200,-0.5094997978210449,-9.990159780979155,9.230386826515192,2.2973312377929687,-2.1129168519973756,6.796471886634824,1.5853763580322267,-6.023636644363403,9.169671622276303,5.505282287597656,-0.3798326263427734,11.363811064720155,-0.7119548797607422,-7.223374224662781,6.157949053764342
amp100_freq26,100,26,Group 96-127,200,-0.3035305976867676,-6.025151840686798,5.736425378799437,0.5564120483398437,-3.123049998283386,4.039872204780575,-2.7199278450012208,-7.988373512268066,2.143033953666687,2.1988140869140627,-2.3317836132049563,6.740984460830687,-3.2763398933410643,-7.244221381664276,0.6641293463706914
amp180_freq26,180,26,Group 0-31,200,-13.909516983032226,-22.352262477874756,-6.155416879653938,10.12865333557129,4.678783290863037,15.346417419433592,17.20575210571289,7.195415330886841,27.554870591163628,11.605855102539062,4.493145555496216,18.98460552406311,7.0770987701416015,-2.1558276252746578,17.136253674507135
amp180_freq26,180,26,Group 32-63,200,-9.901904201507568,-16.712850010871886,-3.499197883605966,7.4674203491210935,2.942412127494812,11.930646409988395,12.582957763671875,4.469510355949402,21.139451071739195,10.442188262939453,4.148591892242432,16.80077386665344,5.115537414550781,-2.8751411085128784,12.791101387023922
amp180_freq26,180,26,Group 64-95,200,-3.33404842376709,-11.405439439296723,4.984219955444334,5.031173629760742,0.6545177192687989,9.126093704223624,12.144244308471679,3.804992741584778,21.18278338623046,5.865178489685059,0.31034431076049807,11.21259596729278,7.113070678710938,-0.6849829187393188,14.755277625083922
amp180_freq26,180,26,Group 96-127,200,-3.6957161712646482,-8.367752087593079,1.0663977718353181,3.979777145385742,0.900962700843811,6.90809131526947,8.387027473449708,3.0156845507621766,13.890270007610317,5.576655464172363,1.2875773158073425,9.81366810941696,4.407250328063965,-0.08634184408187864,9.034765779972073
amp250_freq26,250,26,Group 0-31,200,-14.126326026916503,-25.110732387542726,-2.8680004043579124,0.9597353363037109,-5.287440073013306,6.970633182525634,7.904623794555664,-2.2879954090118404,18.03272827148437,4.201015434265137,-4.365161322593689,12.524323560714716,6.9448884582519534,-1.2528594818115233,15.622735254287717
amp250_freq26,250,26,Group 32-63,200,-11.68012071609497,-20.405178344726565,-2.029820487976097,2.0293611526489257,-2.2736351642608645,6.762336666107177,7.85654312133789,-0.033237172126769694,16.513788305282592,4.173813095092774,-2.0843039464950563,10.251310786247249,5.827181968688965,-1.3086250810623168,13.361670021057119
amp250_freq26,250,26,Group 64-95,200,-14.927665424346923,-23.245083319664,-6.88678064107895,0.7428691101074218,-3.6925116186141964,5.283596996307373,11.794930114746094,3.472665565490723,20.36309254646301,1.7938961029052733,-3.8322876720428467,7.579917172431945,11.052061004638672,4.009748978614807,17.974760569572446
amp250_freq26,250,26,Group 96-127,200,-9.150093021392822,-14.346960521697998,-3.5620634493827827,0.19703433990478517,-2.845015080451965,3.2155488967895502,3.2100362968444824,-1.8810258679389953,8.357684566974635,0.5391383934020996,-3.4107263326644897,4.680357122421263,3.0130019569396973,-1.527464135169983,7.938072954654692
