cluster_id,KSLabel,ContamPct,Amplitude,is_ks_good
0,good,8.0,10.6,True
1,mua,129.1,11.4,False
2,mua,189.1,9.7,False
3,mua,107.0,10.1,False
4,mua,171.8,10.0,False
5,mua,249.8,9.0,False
6,mua,171.8,9.9,False
7,mua,105.0,10.6,False
8,mua,275.9,10.6,False
9,good,9.0,12.6,True
10,mua,176.6,11.8,False
11,mua,40.6,11.3,False
12,mua,24.2,11.5,False
13,mua,49.3,10.7,False
14,mua,241.3,10.0,False
15,mua,308.0,11.4,False
16,mua,41.2,9.5,False
17,mua,186.4,10.3,False
18,mua,98.8,9.6,False
19,mua,46.8,10.6,False
20,good,0.0,26.6,True
21,good,16.4,13.4,True
22,mua,49.6,10.5,False
23,good,0.6,51.1,True
24,mua,229.7,9.8,False
25,mua,177.2,9.9,False
26,mua,118.9,9.9,False
27,mua,138.6,9.9,False
28,mua,185.5,10.0,False
29,mua,94.4,10.2,False
30,mua,172.6,10.0,False
31,mua,56.8,9.1,False
32,mua,212.9,9.9,False
33,mua,54.9,9.9,False
34,mua,113.2,10.0,False
35,mua,137.2,9.5,False
36,mua,151.8,9.9,False
37,mua,179.9,9.5,False
38,mua,150.2,9.6,False
39,mua,141.9,9.3,False
40,mua,134.3,9.2,False
41,mua,118.8,10.3,False
42,mua,131.9,9.2,False
43,mua,50.4,9.3,False
44,mua,168.0,9.6,False
45,mua,151.6,9.6,False
46,mua,150.3,9.9,False
47,mua,168.6,9.6,False
48,mua,197.1,9.4,False
49,mua,212.5,9.4,False
50,mua,164.8,9.9,False
51,mua,185.6,9.5,False
52,mua,165.6,9.6,False
53,mua,89.6,10.3,False
54,mua,228.2,9.7,False
55,mua,168.7,9.8,False
56,mua,151.8,9.6,False
57,mua,152.5,9.8,False
58,mua,48.2,10.6,False
59,mua,233.1,10.8,False
60,mua,45.4,19.4,False
61,mua,105.3,12.2,False
62,mua,103.6,11.0,False
63,mua,264.3,10.6,False
64,mua,200.0,10.9,False
65,mua,94.1,11.8,False
66,mua,151.7,9.8,False
67,mua,81.6,10.7,False
68,mua,265.6,10.0,False
69,mua,88.8,10.4,False
70,mua,203.4,9.8,False
71,mua,130.3,9.7,False
72,mua,48.0,12.8,False
73,mua,105.2,10.2,False
74,mua,213.8,10.0,False
75,mua,146.3,10.1,False
76,mua,21.0,11.4,False
77,mua,36.5,10.8,False
78,mua,163.2,10.8,False
79,mua,108.1,9.7,False
80,good,8.0,10.7,True
81,mua,105.1,10.3,False
82,mua,110.5,10.1,False
83,mua,44.6,9.7,False
84,mua,67.1,9.7,False
85,mua,115.3,10.0,False
86,mua,72.5,9.7,False
87,mua,75.7,9.6,False
88,mua,125.0,9.0,False
89,mua,61.4,10.2,False
90,mua,115.9,21.2,False
91,mua,187.2,10.1,False
92,mua,86.9,19.9,False
93,mua,95.8,12.2,False
94,mua,179.4,9.6,False
95,mua,93.4,11.4,False
96,mua,227.6,9.4,False
97,mua,64.4,25.5,False
98,mua,242.7,9.8,False
99,mua,158.2,20.6,False
100,mua,30.6,10.1,False
101,good,19.2,11.3,True
102,good,12.6,10.2,True
103,mua,54.0,11.8,False
104,mua,0.0,26.7,False
105,mua,214.1,10.5,False
106,mua,46.4,13.6,False
107,good,10.4,18.7,True
108,mua,238.3,10.9,False
109,mua,52.1,23.1,False
110,good,3.6,27.2,True
111,good,0.8,27.2,True
112,good,4.1,18.8,True
113,mua,82.8,12.0,False
114,mua,97.0,11.6,False
115,mua,237.5,9.7,False
116,mua,239.5,10.2,False
117,mua,154.6,19.0,False
118,good,1.9,19.7,True
119,good,5.6,26.5,True
120,good,13.3,21.8,True
121,mua,99.6,10.2,False
122,mua,40.8,21.2,False
123,mua,120.2,11.3,False
124,mua,57.8,10.4,False
125,mua,52.0,10.1,False
126,mua,120.0,13.0,False
127,mua,113.3,15.8,False
128,mua,78.8,14.9,False
129,mua,49.2,16.5,False
130,mua,63.5,9.9,False
131,mua,63.9,9.8,False
132,mua,99.5,11.5,False
133,mua,118.0,10.0,False
134,mua,46.7,9.3,False
135,mua,134.7,10.1,False
136,mua,119.8,10.7,False
137,mua,112.2,10.1,False
138,mua,51.6,9.5,False
139,mua,26.7,10.3,False
140,mua,127.8,10.5,False
141,mua,69.5,9.9,False
142,mua,61.0,9.9,False
143,mua,105.2,10.6,False
144,mua,57.0,9.9,False
145,mua,105.2,9.8,False
146,mua,76.1,9.9,False
147,mua,83.0,9.3,False
148,mua,106.5,9.8,False
149,mua,149.3,9.8,False
150,mua,91.9,9.8,False
151,mua,136.1,9.7,False
152,mua,136.4,9.7,False
153,mua,66.3,9.6,False
154,mua,150.7,9.6,False
155,mua,179.1,9.6,False
156,mua,271.0,9.6,False
157,good,1.4,8.9,True
158,good,8.8,14.8,True
159,mua,277.8,9.7,False
160,good,0.0,8.8,True
161,mua,114.5,13.4,False
162,mua,110.6,12.6,False
163,mua,56.0,13.5,False
164,mua,250.7,9.5,False
165,mua,25.0,9.5,False
166,mua,76.3,9.7,False
167,mua,298.7,10.0,False
168,good,2.7,15.3,True
169,good,0.0,26.4,True
170,mua,72.0,10.7,False
171,mua,58.3,10.2,False
172,mua,47.2,18.3,False
173,good,13.9,13.9,True
174,good,0.0,27.7,True
175,good,3.5,15.1,True
176,mua,73.8,9.6,False
177,good,0.1,27.8,True
178,mua,20.3,9.9,False
179,mua,370.1,11.0,False
180,mua,48.6,10.5,False
181,good,1.8,37.5,True
182,mua,21.0,15.4,False
183,good,10.2,28.3,True
184,mua,40.3,20.4,False
185,mua,80.2,10.3,False
186,mua,206.4,10.1,False
187,good,11.5,12.3,True
188,mua,150.0,10.2,False
189,mua,71.3,13.3,False
190,mua,78.6,11.3,False
191,good,3.8,22.6,True
192,mua,65.6,10.7,False
193,mua,87.2,10.8,False
